"ID"	"Group"	"wds"	"rats"	"Time"
"1"	"1"	"WD1"	240	1
"2"	"1"	"WD1"	225	1
"3"	"1"	"WD1"	245	1
"4"	"1"	"WD1"	260	1
"5"	"1"	"WD1"	255	1
"6"	"1"	"WD1"	260	1
"7"	"1"	"WD1"	275	1
"8"	"1"	"WD1"	245	1
"9"	"2"	"WD1"	410	1
"10"	"2"	"WD1"	405	1
"11"	"2"	"WD1"	445	1
"12"	"2"	"WD1"	555	1
"13"	"3"	"WD1"	470	1
"14"	"3"	"WD1"	535	1
"15"	"3"	"WD1"	520	1
"16"	"3"	"WD1"	510	1
"1"	"1"	"WD15"	255	1
"2"	"1"	"WD15"	230	1
"3"	"1"	"WD15"	250	1
"4"	"1"	"WD15"	255	1
"5"	"1"	"WD15"	255	1
"6"	"1"	"WD15"	270	1
"7"	"1"	"WD15"	260	1
"8"	"1"	"WD15"	260	1
"9"	"2"	"WD15"	425	1
"10"	"2"	"WD15"	430	1
"11"	"2"	"WD15"	450	1
"12"	"2"	"WD15"	565	1
"13"	"3"	"WD15"	475	1
"14"	"3"	"WD15"	530	1
"15"	"3"	"WD15"	530	1
"16"	"3"	"WD15"	520	1
"1"	"1"	"WD22"	260	2
"2"	"1"	"WD22"	232	2
"3"	"1"	"WD22"	255	2
"4"	"1"	"WD22"	265	2
"5"	"1"	"WD22"	270	2
"6"	"1"	"WD22"	275	2
"7"	"1"	"WD22"	270	2
"8"	"1"	"WD22"	268	2
"9"	"2"	"WD22"	428	2
"10"	"2"	"WD22"	440	2
"11"	"2"	"WD22"	452	2
"12"	"2"	"WD22"	580	2
"13"	"3"	"WD22"	485	2
"14"	"3"	"WD22"	533	2
"15"	"3"	"WD22"	540	2
"16"	"3"	"WD22"	515	2
"1"	"1"	"WD29"	262	2
"2"	"1"	"WD29"	240	2
"3"	"1"	"WD29"	262	2
"4"	"1"	"WD29"	265	2
"5"	"1"	"WD29"	270	2
"6"	"1"	"WD29"	275	2
"7"	"1"	"WD29"	273	2
"8"	"1"	"WD29"	270	2
"9"	"2"	"WD29"	438	2
"10"	"2"	"WD29"	448	2
"11"	"2"	"WD29"	455	2
"12"	"2"	"WD29"	590	2
"13"	"3"	"WD29"	487	2
"14"	"3"	"WD29"	535	2
"15"	"3"	"WD29"	543	2
"16"	"3"	"WD29"	530	2
"1"	"1"	"WD36"	258	3
"2"	"1"	"WD36"	240	3
"3"	"1"	"WD36"	265	3
"4"	"1"	"WD36"	268	3
"5"	"1"	"WD36"	273	3
"6"	"1"	"WD36"	277	3
"7"	"1"	"WD36"	274	3
"8"	"1"	"WD36"	265	3
"9"	"2"	"WD36"	443	3
"10"	"2"	"WD36"	460	3
"11"	"2"	"WD36"	455	3
"12"	"2"	"WD36"	597	3
"13"	"3"	"WD36"	493	3
"14"	"3"	"WD36"	540	3
"15"	"3"	"WD36"	546	3
"16"	"3"	"WD36"	538	3
"1"	"1"	"WD43"	266	4
"2"	"1"	"WD43"	243	4
"3"	"1"	"WD43"	267	4
"4"	"1"	"WD43"	270	4
"5"	"1"	"WD43"	274	4
"6"	"1"	"WD43"	278	4
"7"	"1"	"WD43"	276	4
"8"	"1"	"WD43"	265	4
"9"	"2"	"WD43"	442	4
"10"	"2"	"WD43"	458	4
"11"	"2"	"WD43"	451	4
"12"	"2"	"WD43"	595	4
"13"	"3"	"WD43"	493	4
"14"	"3"	"WD43"	525	4
"15"	"3"	"WD43"	538	4
"16"	"3"	"WD43"	535	4
"1"	"1"	"WD44"	266	4
"2"	"1"	"WD44"	244	4
"3"	"1"	"WD44"	267	4
"4"	"1"	"WD44"	272	4
"5"	"1"	"WD44"	273	4
"6"	"1"	"WD44"	278	4
"7"	"1"	"WD44"	271	4
"8"	"1"	"WD44"	267	4
"9"	"2"	"WD44"	446	4
"10"	"2"	"WD44"	464	4
"11"	"2"	"WD44"	450	4
"12"	"2"	"WD44"	595	4
"13"	"3"	"WD44"	504	4
"14"	"3"	"WD44"	530	4
"15"	"3"	"WD44"	544	4
"16"	"3"	"WD44"	542	4
"1"	"1"	"WD50"	265	5
"2"	"1"	"WD50"	238	5
"3"	"1"	"WD50"	264	5
"4"	"1"	"WD50"	274	5
"5"	"1"	"WD50"	276	5
"6"	"1"	"WD50"	284	5
"7"	"1"	"WD50"	282	5
"8"	"1"	"WD50"	273	5
"9"	"2"	"WD50"	456	5
"10"	"2"	"WD50"	475	5
"11"	"2"	"WD50"	462	5
"12"	"2"	"WD50"	612	5
"13"	"3"	"WD50"	507	5
"14"	"3"	"WD50"	543	5
"15"	"3"	"WD50"	553	5
"16"	"3"	"WD50"	550	5
"1"	"1"	"WD57"	272	5
"2"	"1"	"WD57"	247	5
"3"	"1"	"WD57"	268	5
"4"	"1"	"WD57"	273	5
"5"	"1"	"WD57"	278	5
"6"	"1"	"WD57"	279	5
"7"	"1"	"WD57"	281	5
"8"	"1"	"WD57"	274	5
"9"	"2"	"WD57"	468	5
"10"	"2"	"WD57"	484	5
"11"	"2"	"WD57"	466	5
"12"	"2"	"WD57"	618	5
"13"	"3"	"WD57"	518	5
"14"	"3"	"WD57"	544	5
"15"	"3"	"WD57"	555	5
"16"	"3"	"WD57"	553	5
"1"	"1"	"WD64"	278	6
"2"	"1"	"WD64"	245	6
"3"	"1"	"WD64"	269	6
"4"	"1"	"WD64"	275	6
"5"	"1"	"WD64"	280	6
"6"	"1"	"WD64"	281	6
"7"	"1"	"WD64"	284	6
"8"	"1"	"WD64"	278	6
"9"	"2"	"WD64"	478	6
"10"	"2"	"WD64"	496	6
"11"	"2"	"WD64"	472	6
"12"	"2"	"WD64"	628	6
"13"	"3"	"WD64"	525	6
"14"	"3"	"WD64"	559	6
"15"	"3"	"WD64"	548	6
"16"	"3"	"WD64"	569	6
"1"	"1"	"WD8"	250	8
"2"	"1"	"WD8"	230	8
"3"	"1"	"WD8"	250	8
"4"	"1"	"WD8"	255	8
"5"	"1"	"WD8"	260	8
"6"	"1"	"WD8"	265	8
"7"	"1"	"WD8"	275	8
"8"	"1"	"WD8"	255	8
"9"	"2"	"WD8"	415	8
"10"	"2"	"WD8"	420	8
"11"	"2"	"WD8"	445	8
"12"	"2"	"WD8"	560	8
"13"	"3"	"WD8"	465	8
"14"	"3"	"WD8"	525	8
"15"	"3"	"WD8"	525	8
"16"	"3"	"WD8"	510	8
